order,urban_rural,landuse_id,landuse_description,manual_label
125159,1,6,2 IGREJA BATISTA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
338466,1,6,2 IGREJA DE DEUS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
269155,1,6,2 IGREJA PENTESCOSTAL O BRASIL PARA CRIS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
215222,1,6,2 IGREJA PRESBITERIANA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
164380,1,6,2 IGREJA PRESBITERIANA NOVA ESPERANCA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
234140,1,6,2 IRMAES VARIEDADES,- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO
506052,1,6,2 IRMAOS MATERIAIS DE CONSTRUCAO,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
413751,1,6,2 IRMAOS PNEUS E RODAS,
485332,1,6,2 LOJAS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
52471,1,6,2 LOJAS VAGAS E IGREJA CRISTA MARANATA,DESOCUPADO
375226,1,6,2 NUMEROS NA MESMA CASA,
567708,2,3,2 PAIOL,
579020,2,6,2 PAIOL E CASA DE MAQUINAS,
562331,1,6,2 PARTE DA PANIFICADOURA,
468295,1,6,2 REGISTRO CIVIL E TABELIONATOS DE NOTAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
35621,2,3,2 ROSADO DE MILHO,
267025,2,3,2 SALOES,
406774,2,6,2 SALOES PARA FAZER CILAGEM,
280043,1,6,2 SALSS COMERCIAIS,
256374,1,6,2 TABELIAO DE NOTAS DE SANTO ANDRE,
420905,1,6,2 TABELIAO DE NOTAS E DE PROTESTO DE LET,
85439,1,6,2 TABELIONATO DE NOTAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
414423,1,6,20 DELEGACIA D POLICIA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
467729,1,6,2000 MULTIMARCAS,
136415,1,6,20V LANCHES,
321186,1,6,22 BATALHAO DE POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
413684,1,6,22 BPM,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
201864,1,6,22 MESMO EN DA FAINO BORALE,
548203,1,6,22 VARA CIVEL,
278182,1,6,23 CIRETRAN,
108270,1,6,23 JUNTA DE SERVICO MILITAR,
455973,1,6,235 BAZAR,
489932,1,6,24 LINK ASSIST TEC INSTALACAO DE ALARMES,
527706,1,6,25 BATALHAO DE POLICIA MILITAR,
384792,1,6,25 COMERCIO DE ROUPAS,
350281,1,6,25 DELEGACIA REGIONAL DE POLICIA,
23322,1,6,27 PAPET PRINT,
167825,1,6,277 CASAS PRE FABRICADAS,
532263,2,3,2A GRANJA,
377417,1,6,2A MATERIAIS ELETRICOS,
535485,2,3,2CHIQUEIROS  PRODUCAO DE OVOS,
87932,1,6,2EM1 MODAS,
362519,2,3,2ESTUFA COM BARRACAO PAIOL,
519161,1,6,2ML GRAFICA EXPRESSA,
346741,2,3,2PAIOL ESTUFA C BARRACAO GALINGEIRO MANG,
251749,1,6,3 CARTORIO DE NOTAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
147982,2,3,3 CASA AS ESQUER DEP D ESQU DA 2 EIX,
396003,2,3,3 CASAS 1 CURRAL 1 BARRACAO,
160949,2,3,3 CHIQUEIRO,
245439,1,6,3 CIA DA POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
352622,1,6,3 CIA DO 13 BATALHAO,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
54061,1,6,3 CIA POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
243959,1,6,3 COMP DO 11 BATALHAO POLICIAL,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
182727,1,6,3 DIESEL,
559920,1,6,3 DISTRITO POLICIAL 1 DELEGACIA DE POLIC,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
575531,1,6,3 ESTRELAS,
275656,2,3,3 ESTUFAS DE FUMO E 1 GALPAO,
570026,1,6,3 I ESQUADRIAS,
453726,1,6,3 IGREJA PRESBETERIANA DO BRASIL,
426021,1,6,3 IRMAOS,
153937,1,6,3 J ENGENHARIA,
279696,1,6,3 JOTA SUPERMERCADO,
182189,1,6,3 LOTES VAGOS,
560644,1,6,3 PELOTAO CUMARU,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
269526,2,3,3 RITIRO DA FAZENDA RIO MARIA,
298464,1,6,3 ROCHA,
67560,1,6,3 SALAS COMERCIAIS,
303716,1,5,3 SALAS DE ODONTOLOGIA,
345033,1,6,30 HS DISTRIBUIDORA,
81053,1,6,32 BATALHAO DO EXERCITO,
155642,2,4,34E678 SERIE CASA RURAL,
400158,2,3,35M A ESQUERDA DA CASA N52,
396785,1,6,36 GRUPO DE ESCOTEIROS,
128723,1,6,3C CARTUCHOS E VARIEDADES,
79624,1,6,3D FABRICA DE MOVEIS,
222238,1,6,3ECRITORIO DE CONTABILIDADE,
294142,1,6,3FUNELARIA,
489501,1,6,3K LANCHES,
544089,1,6,3L3,
124505,1,6,3M BEBIDAS,
385341,1,6,3MS BEBIDAS DESTRIBUIDORA DE BEBIDAS,
303852,1,6,3O5 CIRETRAN PATIO ITARIRI E PEDRO DE TO,
77302,1,6,3R CONFECCOES,
209742,1,6,3R DO BRASIL,
310080,1,6,3R FRIOS,
460932,1,6,3STACIONAMENO E LAVA RAPIDO,
183904,1,6,3WS TRANSPORTE E LOGISTICA LIMITADA,
186608,1,6,4  R  VEICULOS,
92982,2,6,4 BAIAS CAVALOS,
528465,1,6,4 BATALHAO DE POLICIA MILITAR,
4801,1,6,4 CARTORIO DE NOTAS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
21759,1,6,4 ESTACOES,
275739,1,6,4 ESTACOES TOLDOS,NÃO DEFINIDO
265295,2,3,4 ESTREBARIA CHIQUEIRO GALINHEIRO,
261393,2,3,4 ESTUFAS E 2 GALPOES DE FUMO,
283225,2,6,4 GRANJAS DA PERDIGAO,
276111,1,6,4 GREEC,
86810,1,6,4 JS MODAS E BIJU,
236227,1,6,4 JUIZADO ESPECIAL,
290335,1,6,4 LINHAS AUTO PECAS LTDA,
282982,1,6,4 PATAS PETSHOP,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
300242,1,6,4 PELOTAO DA POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
458379,1,6,4 RODAS SOM E ALARMES,
285196,2,4,4 SERIE ENSINO FUNDAMENTAL,
226831,1,6,4 TEMPOS MOTORSPORT,
548218,1,6,40 CARTORIO REGISTRO CIVIL BRASILANDIA,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
85070,1,6,40 GRAUS CABELEREIRO,
251594,1,6,4A CONFECCOES E UNIFORMES,
70868,1,6,4A INFORMATICA,
470587,2,3,4TFDF,
35126,1,6,5 A SEC,
505918,1,6,5 CIA DA POLICIA MILITAR,
245597,1,6,5 CINCO,
51935,1,6,5 IGREJA ASSEMBLEIA DE DEUS,
485127,1,6,5 OFICIO DE NOTAS CARTORIO,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
348100,1,6,5 PONTOS COMERCIAIS,
196568,1,6,5 SALAS COMERCIAIS,
136603,1,6,54 IGREJA DO EVANGELIO QUADRANGULAR,
360192,1,6,5A RODA PNEUS,
464043,1,6,5ALAO DE BELESA,
139760,1,6,5D,
547767,2,3,5ITIO  HERES SACHETTE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA"
103314,1,6,6 0 GRUPAMENTO DE BOMBEIRO,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
402172,1,6,6 BATALHAO DE POLICIA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
247848,1,6,6 DRP ITUMBIARA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
177402,1,6,6 IGREJA O BRASIL PARA CRISTO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
301080,1,6,6 JUIZADO CIVIL E DAS RELACOES DE CONSUM,
95906,1,6,6 LOJAS COMERCIAIS,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
474282,1,6,6 OFICIO DE NOTAS,
256478,1,6,60 CIRETRAN,
171832,1,6,62 CIRETRAN,
464659,1,6,6J,
413849,1,6,7 BATAHAO DE POLCIA MILITAR,
357092,1,6,7 DELEGACIA DE SERVICO MILITAR,
205590,1,6,7 INSPETORIA REGIONAL DE ENSINO,
376896,1,6,700 GAUSS,NÃO DEFINIDO
293671,2,3,7000 EUCALIPTUS,
178173,1,6,702 E 602 MESMA MORADA,
116306,1,6,764 AUTOMOVEIS,
237936,1,6,765 DEPOSITO BEBIDA,
40904,1,6,7CAR MULTIMARCA,
504269,1,6,7HO DE GENEROS ALIMENTICIOS,
291967,1,6,7MERCEARIA COMERCIO DE SECOS E MOLHADO,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
335853,1,6,7NDUSTRIA METALURGICA,
579040,1,6,8 CB CORPO DE BOMBEIRO,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
411486,1,6,85 BATALHAO DE POLICIA,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
562351,2,3,88 47 30 71,
131118,1,6,89 DISTRITO POLICIAL DE CORURIPE,
492863,1,6,8AR E MERCEARIA,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
115996,1,6,9 BATALHAO PM,
578182,1,6,9 CARTORIO DE REGISTRO CIVIL,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
202041,1,6,9 COMPANHIA DE POLICIA MLITAR,
179439,1,6,9 SALAS DE CORETORES DE SEGURO PORTO SEG,
227307,1,6,92 FM,INFORMAÇÃO E COMUNICAÇÃO
18016,2,3,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA"
86323,2,6,A,NÃO DEFINIDO
248340,1,6,A   VENDA,
386118,1,6,A  PARA FESTA,
414127,1,6,A 1000LTON LANCHES,
369236,1,6,A A,NÃO DEFINIDO
463414,1,6,A A Z PRESENTES,
413219,1,6,A ALUGAR,
202700,1,6,A ARTIP,
317016,1,6,A ASSISTENCIA TECNICA DE ELETRO DOMESTIC,
374974,1,6,A BAGUNCA,
11882,1,6,A BARATEIRA DAS FESTAS,
535160,1,6,A BOTICA,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS"
148136,1,6,A BRASILEIRA CONFECCOES,
276189,1,6,A BURGUER,
7854,1,6,A BURITI LAR MOVEIS,
95334,1,6,A C PECAS E ACESSORIOS,
427443,1,6,A CACULINHA LOTERIAS,
