ordem,uf,municipality,district,sub_district,urban_rural,landuse_id,landuse_description,categoria_cnae,dúvidas,CNAE
26683,35,1301,5,0,1,5,0,NÃO DEFINIDO,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA"
52403,31,27107,5,0,2,3,1,NÃO DEFINIDO,,INDÚSTRIAS EXTRATIVAS
69428,33,5802,5,0,1,6,1,NÃO DEFINIDO,,INDÚSTRIAS DE TRANSFORMAÇÃO
399142,31,27107,5,0,2,3,2,NÃO DEFINIDO,,ELETRICIDADE E GÁS
155973,31,27107,5,0,2,3,4,NÃO DEFINIDO,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
567255,23,4400,5,8,1,6,5,NÃO DEFINIDO,,CONSTRUÇÃO
512431,31,27107,5,0,2,3,7,NÃO DEFINIDO,,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
50715,31,27107,5,0,2,3,8,NÃO DEFINIDO,,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
16215,31,27107,5,0,2,3,9,NÃO DEFINIDO,,"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
187372,31,27107,5,0,2,3,10,NÃO DEFINIDO,,- COMÉRCIO VAREJISTA
501932,31,27107,5,0,2,3,13,NÃO DEFINIDO,,- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO
63390,31,57807,10,0,1,5,18,NÃO DEFINIDO,,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS"
279596,31,27107,5,0,2,3,18,NÃO DEFINIDO,,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
108481,31,27107,5,0,2,3,25,NÃO DEFINIDO,,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
372391,31,27107,5,0,2,3,30,NÃO DEFINIDO,,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
388254,31,27107,5,0,2,3,38,NÃO DEFINIDO,,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
145713,31,27107,5,0,2,3,40,NÃO DEFINIDO,,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
428471,31,27107,5,0,2,3,43,NÃO DEFINIDO,,"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS"
77825,32,3007,23,0,2,3,44,NÃO DEFINIDO,,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS"
385292,31,27107,5,0,2,3,48,NÃO DEFINIDO,,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS
331546,31,27107,5,0,2,3,51,NÃO DEFINIDO,,"TRANSPORTE, ARMAZENAGEM E CORREIO"
178324,31,27107,5,0,2,3,55,NÃO DEFINIDO,,- TRANSPORTE TERRESTRE
429279,23,7700,5,0,1,6,61,NÃO DEFINIDO,,- TRANSPORTE AQUAVIÁRIO
224946,31,27107,5,0,2,3,63,NÃO DEFINIDO,,- TRANSPORTE AÉREO
332520,31,27107,5,0,2,3,67,NÃO DEFINIDO,,- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES
565577,31,27107,5,0,2,3,76,NÃO DEFINIDO,,- CORREIO E OUTRAS ATIVIDADES DE ENTREGA
12466,31,27107,5,0,2,3,91,NÃO DEFINIDO,,ALOJAMENTO E ALIMENTAÇÃO
82559,31,27107,5,0,2,3,105,NÃO DEFINIDO,,- ALOJAMENTO
335550,31,27107,5,0,2,3,110,NÃO DEFINIDO,,- ALIMENTAÇÃO
425250,31,27107,5,0,2,3,114,NÃO DEFINIDO,,INFORMAÇÃO E COMUNICAÇÃO
105305,31,27107,5,0,2,3,116,NÃO DEFINIDO,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS"
5636,31,27107,5,0,2,3,118,NÃO DEFINIDO,,ATIVIDADES IMOBILIÁRIAS
549793,31,27107,5,0,2,3,120,NÃO DEFINIDO,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
417850,31,27107,5,0,2,3,123,NÃO DEFINIDO,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
481857,31,27107,5,0,2,3,130,NÃO DEFINIDO,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
8907,31,27107,5,0,2,3,139,NÃO DEFINIDO,,EDUCAÇÃO
7797,35,4107,5,0,1,4,200,NÃO DEFINIDO,,SAÚDE HUMANA E SERVIÇOS SOCIAIS
267850,31,6200,5,68,1,6,312,NÃO DEFINIDO,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
272779,41,18501,5,0,1,6,575,NÃO DEFINIDO,,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
361776,28,7402,5,0,1,6,809,NÃO DEFINIDO,,OUTRAS ATIVIDADES DE SERVIÇOS
454635,31,38401,5,0,1,6,1001,NÃO DEFINIDO,,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS"
463939,15,2400,5,0,1,6,1600,NÃO DEFINIDO,,DESOCUPADO
18673,26,11606,5,21,1,6,33333,NÃO DEFINIDO,,NÃO DEFINIDO
29522,21,14007,5,0,2,6,0 FICINA DE FERREIRO,,,
214257,29,21005,5,0,1,6,002 JUNTA MILITAR,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",,
458040,31,70206,5,0,1,6,050 VEICULOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
150390,15,1402,5,0,1,6,0800 DA CELPA,,,
376855,33,4557,5,20,1,6,0AB,,,
134593,35,50308,96,0,1,6,0BRA,,,
243056,35,52205,5,0,1,6,0CEAN AIR,,,
345313,52,18300,5,0,2,3,0CRIACAO DE GALINHA GADO E PLANTIO DE CA,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",,
237140,15,6138,5,0,1,6,0CUPADO,,,
156043,35,5500,5,0,1,6,0FICIA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
248889,41,4204,5,0,1,6,0FICICINA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
67229,29,29057,5,0,1,6,0FICINA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
566061,25,7507,5,0,1,6,0FICINA 2 IRMAOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
11781,28,7105,5,0,1,6,0FICINA ANTONIO MOTOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
542509,33,4557,5,12,1,6,0FICINA AUTO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
527499,35,18800,5,0,1,6,0FICINA AUTOMOVEL,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
462588,23,7304,5,0,1,6,0FICINA BICICLETA,,,
540740,43,12252,5,0,1,6,0FICINA DE AUTOMOVEIS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
497808,35,25904,5,0,1,6,0FICINA DE AUTOS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
135273,31,6705,5,3,1,6,0FICINA DE AUTOS RETOK CAR,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,,
399894,23,2503,5,0,1,6,0FICINA DE BICICLETA,,,
551059,52,3609,5,0,1,6,0FICINA DE BICICLETA DO ORISMAR,,,
562293,42,3204,5,0,1,6,0FICINA DE BICICLETA SACOLAO PANIFICADOR,,,
401528,15,107,5,0,1,6,0FICINA DE BICICLETAS,,,
