                                                     j                                           Polarity  Coverage  Overlaps  Conflicts
use_manual_label_1                                   0  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21, 22, 23, 24...  0.213093  0.213093   0.060557
use_manual_label_2                                   1  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21, 22, 23, 24...  0.213093  0.213093   0.060557
use_manual_label_3                                   2  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21, 22, 23, 24...  0.213093  0.213093   0.060557
farming_keywords                                     3                                                [1]  0.149449  0.045470   0.015785
extractive_industries_keywords                       4                                                [2]  0.002897  0.001251   0.001022
manufacturing_industries_keywords                    5                                                [3]  0.024874  0.008336   0.007224
gas_and_electricity_keywords                         6                                                [4]  0.004098  0.002892   0.002423
water_treatment_keywords                             7                                                [5]  0.000982  0.000578   0.000145
construction_keywords                                8                                                [6]  0.001236  0.000429   0.000209
motor_vehicle_repair_and_retail_keywords             9                                                [8]  0.043765  0.009742   0.005729
wholesale_trade_keyword                             10                                                [9]  0.000563  0.000155   0.000150
non_specialized_retail_trade_keyword                11                                               [11]  0.004737  0.003021   0.003021
non_specialized_retail_foodstuffs_supermarkets_...  12                                               [12]  0.004936  0.000703   0.000703
non_specialized_retail_foodstuffs_grocery_store...  13                                               [13]  0.023294  0.007907   0.007907
retail_food_beverages_tobacco_keyword               14                                               [14]  0.015940  0.011592   0.011592
retail_fuel_keyword                                 15                                               [15]  0.003565  0.002712   0.002712
retail_building_material_keyword                    16                                               [16]  0.002907  0.000708   0.000708
retail_computer_communication_household_equipme...  17                                               [17]  0.015815  0.005225   0.005225
retail_sport_culture_recreation_articles_keyword    18                                               [18]  0.004358  0.003580   0.003580
retail_pharmaceuticals_perfumery_cosmetics_opti...  19                                               [19]  0.011093  0.009573   0.009573
retail_new_products_non_specified_previously_an...  20                                               [20]  0.035065  0.020013   0.020013
ground_transportation_keywords                      21                                               [22]  0.000803  0.000055   0.000055
water_transportation_keywords                       22                                               [23]  0.000130  0.000040   0.000040
air_transportation_keywords                         23                                               [24]  0.000100  0.000095   0.000045
storage_auxiliary_transport_activities_keywords     24                                               [25]  0.039074  0.016892   0.016717
mail_and_other_delivery_services_keywords           25                                               [26]  0.000633  0.000244   0.000155
accommodation_keywords                              26                                               [28]  0.002568  0.002124   0.000583
eating_places_keywords                              27                                               [29]  0.072822  0.038740   0.007593
information_and_communication_keywords              28                                               [30]  0.012140  0.002134   0.001845
financial_activities_insurance_keywords             29                                               [31]  0.003575  0.002049   0.000887
real_estate_activities_keywords                     30                                               [32]  0.002214  0.001825   0.000514
professional_scientific_and_technic_activities_...  31                                               [33]  0.011343  0.002608   0.001810
administrative_activities_complementary_service...  32                                               [34]  0.001556  0.000459   0.000145
public_administration_social_security_defence_k...  33                                               [35]  0.005001  0.002224   0.001256
education_keywords                                  34                                               [36]  0.047106  0.008416   0.004313
human_health_social_services_keywords               35                                               [37]  0.029606  0.011063   0.002947
arts_culture_sport_recreation_keywords              36                                               [38]  0.003769  0.002194   0.000877
international_organisms_other_extraterritorial_...  37                                               [39]  0.000085  0.000085   0.000010
other_service_activities_keywords                   38                                               [40]  0.025223  0.006671   0.003116
churches_temples_religious_activities_keywords      39                                               [41]  0.035140  0.028225   0.003665
vacant_keywords                                     40                                               [42]  0.009852  0.005300   0.003714
undefined                                           41                                               [43]  0.000214  0.000170   0.000170
