urban_rural,landuse_id,landuse_description
22,22,22
1805,1805,1805
679,679,679
414,414,414
417,417,417
376,376,376
2474,2474,2474
2070,2070,2070
5357,5357,5357
377,377,377
7032,7032,7032
403,403,403
287,287,287
921,921,921
780,780,780
65,65,65
23,23,23
6,6,6
19,19,19
425,425,425
375,375,375
6190,6190,6190
870,870,870
141,141,141
321,321,321
369,369,369
227,227,227
349,349,349
846,846,846
910,910,910
112,112,112
5360,5360,5360
371,371,371
57,57,57
470,470,470
16,16,16
56,56,56
15,15,15
923,923,923
1843,1843,1843
215,215,215
