order,id,urban_rural,landuse_id,landuse_description,label,clf
0,10991832,1,6,AUTO ELETRICA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
1,1024021,1,6,OFICINA DE BICICLETA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
2,2822863,1,6,OFICINA MECANICA JOAO ALTO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
3,6772347,1,6,PERIMETRAL CENTRO DE REPINTURA AUTOMOTIV,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
4,10678314,1,6,FUNDOS OFICINA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
5,8547419,1,6,AUTO MECANICA NETO,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
6,2660214,1,6,OFICINA,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
7,6643795,1,6,OFICINA DO DENILSON,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
8,10426200,1,6,OFICINA MECANCA A T,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
9,7773637,1,6,LOJA DE BICICLETAS,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,snorkel
10,9783113,1,6,DEPOSITO GAS,ELETRICIDADE E GÁS,snorkel
11,7229302,1,6,ELETRONICA RMS,ELETRICIDADE E GÁS,snorkel
12,6300126,1,6,EQUIPAMENTOS ELETRONICOS,ELETRICIDADE E GÁS,snorkel
13,6745575,1,6,ASSISTENCIA ELETRONICA,ELETRICIDADE E GÁS,snorkel
14,7576526,1,6,ELETRONICA ESPECIALIZADA,ELETRICIDADE E GÁS,snorkel
15,8614973,1,6,ELETRICA,ELETRICIDADE E GÁS,snorkel
16,809984,1,6,COMERCIO DE BUJAO DE GAS,ELETRICIDADE E GÁS,snorkel
17,6899765,1,6,VAREGISTA DE ELETRO DOMESTICO,ELETRICIDADE E GÁS,snorkel
18,3400176,1,6,ELETRONICA MENEZES,ELETRICIDADE E GÁS,snorkel
19,5292272,1,6,MANUTENCAO ELETRICA ELETRICMINAS,ELETRICIDADE E GÁS,snorkel
20,7266799,1,6,CONTABILIDADE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
21,5366043,1,6,ESCRITORIO DO PATIO DO DETRAN,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
22,9543585,1,6,REGISTRO CIVIL,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
23,8488960,1,6,ESCRITORIO   DE CONTABILIDADE,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
24,8315220,1,6,ESCRITORIO,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
25,4911370,1,6,ESCRITORIO ADVOCACIA,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
26,8159457,1,6,ESCRITORIO FACON,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
27,7052572,1,6,ESCRITORIO COMITE REINALDO ALGUZ,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
28,9275732,1,6,CONSULTORIO VETERINARIO,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
29,9666487,1,6,CARTORIO TABELIONATO E PROTESTOS,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",snorkel
30,8702829,1,6,IGREJA EVANGELICA C0NGREGACAO CRISTA NO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
31,7515135,1,6,IGREJA CATOLICA SR BOM JESUS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
32,6939563,1,6,IGREJA  TESTEMUNHO DE GEOVA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
33,9849276,1,6,COMUNIDADE CATOLICA N SRA DO CARMO,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
34,7418196,1,6,RELIGIOSO TESTEMUNHA DE JEOVA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
35,4926052,1,6,IGREJA MATRIZ SAO MIGUEL E ALMAS,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
36,6745273,1,6,ASSCIACAO ESPIRITA,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",snorkel
