anotador1,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,46,1,4,0.08
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",46,41,1,5,0.10869565217391304
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",33,31,0,2,0.06060606060606061
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,47,26,8,21,0.44680851063829785
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,56,44,1,12,0.21428571428571427
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",67,34,5,33,0.4925373134328358
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,36,1,0,0.0
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,37,24,5,13,0.35135135135135137
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,31,2,15,0.32608695652173914
- ALIMENTAÇÃO,70,50,6,20,0.2857142857142857
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,61,35,7,26,0.4262295081967213
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,61,41,2,20,0.32786885245901637
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,44,7,7,0.13725490196078433
- COMÉRCIO VAREJISTA,32,20,4,12,0.375
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,34,31,2,3,0.08823529411764706
- TRANSPORTE AQUAVIÁRIO,15,0,1,15,1.0
- TRANSPORTE AÉREO,23,18,5,5,0.21739130434782608
- TRANSPORTE TERRESTRE,37,25,3,12,0.32432432432432434
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,32,1,8,0.2
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",65,43,0,22,0.3384615384615385
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",56,39,2,17,0.30357142857142855
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,35,25,0,10,0.2857142857142857
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,36,3,3,0.07692307692307693
ATIVIDADES IMOBILIÁRIAS,47,43,4,4,0.0851063829787234
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",77,40,6,37,0.4805194805194805
CONSTRUÇÃO,30,16,8,14,0.4666666666666667
DESOCUPADO,48,44,3,4,0.08333333333333333
EDUCAÇÃO,61,54,0,7,0.11475409836065574
ELETRICIDADE E GÁS,29,26,0,3,0.10344827586206896
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,82,38,9,44,0.5365853658536586
INDÚSTRIAS EXTRATIVAS,27,23,3,4,0.14814814814814814
INFORMAÇÃO E COMUNICAÇÃO,49,31,1,18,0.3673469387755102
NÃO DEFINIDO,68,7,10,61,0.8970588235294118
OBRAS,28,21,2,7,0.25
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,34,1,1,0.02857142857142857
OUTRAS ATIVIDADES DE SERVIÇOS,97,40,4,57,0.5876288659793815
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,51,3,12,0.19047619047619047
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44,35,4,9,0.20454545454545456
