anotador3,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,46,1,4,0.08
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",40,39,0,1,0.025
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",36,33,2,3,0.08333333333333333
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,44,25,6,19,0.4318181818181818
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,57,46,2,11,0.19298245614035087
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",64,36,3,28,0.4375
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,35,0,1,0.027777777777777776
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,36,25,6,11,0.3055555555555556
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,31,2,15,0.32608695652173914
- ALIMENTAÇÃO,66,46,5,20,0.30303030303030304
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,63,41,5,22,0.3492063492063492
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,42,2,21,0.3333333333333333
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,45,6,6,0.11764705882352941
- COMÉRCIO VAREJISTA,48,25,9,23,0.4791666666666667
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,33,31,2,2,0.06060606060606061
- TRANSPORTE AQUAVIÁRIO,17,0,2,17,1.0
- TRANSPORTE AÉREO,25,19,6,6,0.24
- TRANSPORTE TERRESTRE,38,26,3,12,0.3157894736842105
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,33,2,8,0.1951219512195122
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",60,43,0,17,0.2833333333333333
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",55,40,1,15,0.2727272727272727
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,30,1,11,0.2682926829268293
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",38,36,3,2,0.05263157894736842
ATIVIDADES IMOBILIÁRIAS,48,43,5,5,0.10416666666666667
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,40,5,35,0.4666666666666667
CONSTRUÇÃO,31,16,9,15,0.4838709677419355
DESOCUPADO,46,43,1,3,0.06521739130434782
EDUCAÇÃO,61,54,0,7,0.11475409836065574
ELETRICIDADE E GÁS,29,27,1,2,0.06896551724137931
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,78,39,7,39,0.5
INDÚSTRIAS EXTRATIVAS,28,24,4,4,0.14285714285714285
INFORMAÇÃO E COMUNICAÇÃO,50,33,2,17,0.34
NÃO DEFINIDO,66,10,8,56,0.8484848484848485
OBRAS,31,23,3,8,0.25806451612903225
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,34,1,1,0.02857142857142857
OUTRAS ATIVIDADES DE SERVIÇOS,91,40,4,51,0.5604395604395604
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,51,3,12,0.19047619047619047
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",42,35,3,7,0.16666666666666666
