anotador1,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,11,1,39,0.78
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",46,35,1,11,0.2391304347826087
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",33,29,0,4,0.12121212121212122
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,47,16,8,31,0.6595744680851063
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,56,40,1,16,0.2857142857142857
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",67,34,5,33,0.4925373134328358
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,33,1,3,0.08333333333333333
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,37,25,5,12,0.32432432432432434
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,31,2,15,0.32608695652173914
- ALIMENTAÇÃO,70,40,6,30,0.42857142857142855
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,61,41,7,20,0.32786885245901637
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,61,36,2,25,0.4098360655737705
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,41,7,10,0.19607843137254902
- COMÉRCIO VAREJISTA,32,21,4,11,0.34375
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,34,24,2,10,0.29411764705882354
- TRANSPORTE AQUAVIÁRIO,15,0,1,15,1.0
- TRANSPORTE AÉREO,23,10,5,13,0.5652173913043478
- TRANSPORTE TERRESTRE,37,25,3,12,0.32432432432432434
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,28,1,12,0.3
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",65,53,0,12,0.18461538461538463
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",56,32,2,24,0.42857142857142855
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,35,19,0,16,0.45714285714285713
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,30,3,9,0.23076923076923078
ATIVIDADES IMOBILIÁRIAS,47,32,4,15,0.3191489361702128
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",77,26,6,51,0.6623376623376623
CONSTRUÇÃO,30,14,8,16,0.5333333333333333
DESOCUPADO,48,42,3,6,0.125
EDUCAÇÃO,61,52,0,9,0.14754098360655737
ELETRICIDADE E GÁS,29,25,0,4,0.13793103448275862
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,82,21,9,61,0.7439024390243902
INDÚSTRIAS EXTRATIVAS,27,23,3,4,0.14814814814814814
INFORMAÇÃO E COMUNICAÇÃO,49,23,1,26,0.5306122448979592
NÃO DEFINIDO,68,0,10,68,1.0
OBRAS,28,15,2,13,0.4642857142857143
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,22,1,13,0.37142857142857144
OUTRAS ATIVIDADES DE SERVIÇOS,97,37,4,60,0.6185567010309279
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,52,3,11,0.1746031746031746
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44,34,4,10,0.22727272727272727
