anotador3,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,11,1,39,0.78
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",40,34,0,6,0.15
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",36,30,2,6,0.16666666666666666
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,44,16,6,28,0.6363636363636364
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,57,43,2,14,0.24561403508771928
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",64,35,3,29,0.453125
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,32,0,4,0.1111111111111111
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,36,25,6,11,0.3055555555555556
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,33,2,13,0.2826086956521739
- ALIMENTAÇÃO,66,36,5,30,0.45454545454545453
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,63,44,5,19,0.30158730158730157
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,37,2,26,0.4126984126984127
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,43,6,8,0.1568627450980392
- COMÉRCIO VAREJISTA,48,27,9,21,0.4375
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,33,24,2,9,0.2727272727272727
- TRANSPORTE AQUAVIÁRIO,17,0,2,17,1.0
- TRANSPORTE AÉREO,25,10,6,15,0.6
- TRANSPORTE TERRESTRE,38,26,3,12,0.3157894736842105
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,29,2,12,0.2926829268292683
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",60,51,0,9,0.15
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",55,33,1,22,0.4
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,21,1,20,0.4878048780487805
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",38,30,3,8,0.21052631578947367
ATIVIDADES IMOBILIÁRIAS,48,32,5,16,0.3333333333333333
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,26,5,49,0.6533333333333333
CONSTRUÇÃO,31,14,9,17,0.5483870967741935
DESOCUPADO,46,41,1,5,0.10869565217391304
EDUCAÇÃO,61,52,0,9,0.14754098360655737
ELETRICIDADE E GÁS,29,26,1,3,0.10344827586206896
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,78,22,7,56,0.717948717948718
INDÚSTRIAS EXTRATIVAS,28,24,4,4,0.14285714285714285
INFORMAÇÃO E COMUNICAÇÃO,50,25,2,25,0.5
NÃO DEFINIDO,66,0,8,66,1.0
OBRAS,31,16,3,15,0.4838709677419355
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,22,1,13,0.37142857142857144
OUTRAS ATIVIDADES DE SERVIÇOS,91,37,4,54,0.5934065934065934
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,52,3,11,0.1746031746031746
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",42,34,3,8,0.19047619047619047
