anotador1,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,43,1,7,0.14
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",46,31,1,15,0.32608695652173914
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",33,27,0,6,0.18181818181818182
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,23,2,2,0.08
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,47,14,8,33,0.7021276595744681
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,56,40,1,16,0.2857142857142857
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",67,32,5,35,0.5223880597014925
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,35,1,1,0.027777777777777776
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,37,24,5,13,0.35135135135135137
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,33,2,13,0.2826086956521739
- ALIMENTAÇÃO,70,47,6,23,0.32857142857142857
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,61,35,7,26,0.4262295081967213
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,61,39,2,22,0.36065573770491804
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,41,7,10,0.19607843137254902
- COMÉRCIO VAREJISTA,32,21,4,11,0.34375
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,34,19,2,15,0.4411764705882353
- TRANSPORTE AQUAVIÁRIO,15,9,1,6,0.4
- TRANSPORTE AÉREO,23,17,5,6,0.2608695652173913
- TRANSPORTE TERRESTRE,37,25,3,12,0.32432432432432434
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,24,1,16,0.4
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",65,53,0,12,0.18461538461538463
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",56,33,2,23,0.4107142857142857
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,35,17,0,18,0.5142857142857142
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,28,3,11,0.28205128205128205
ATIVIDADES IMOBILIÁRIAS,47,45,4,2,0.0425531914893617
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",77,29,6,48,0.6233766233766234
CONSTRUÇÃO,30,12,8,18,0.6
DESOCUPADO,48,35,3,13,0.2708333333333333
EDUCAÇÃO,61,52,0,9,0.14754098360655737
ELETRICIDADE E GÁS,29,26,0,3,0.10344827586206896
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,36,0,4,0.1
INDÚSTRIAS DE TRANSFORMAÇÃO,82,30,9,52,0.6341463414634146
INDÚSTRIAS EXTRATIVAS,27,25,3,2,0.07407407407407407
INFORMAÇÃO E COMUNICAÇÃO,49,23,1,26,0.5306122448979592
NÃO DEFINIDO,68,30,10,38,0.5588235294117647
OBRAS,28,18,2,10,0.35714285714285715
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,33,1,2,0.05714285714285714
OUTRAS ATIVIDADES DE SERVIÇOS,97,35,4,62,0.6391752577319587
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,48,3,15,0.23809523809523808
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44,32,4,12,0.2727272727272727
