anotador3,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,43,1,7,0.14
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",40,30,0,10,0.25
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",36,27,2,9,0.25
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,23,2,2,0.08
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,44,14,6,30,0.6818181818181818
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,57,43,2,14,0.24561403508771928
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",64,34,3,30,0.46875
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,35,0,1,0.027777777777777776
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,36,25,6,11,0.3055555555555556
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,35,2,11,0.2391304347826087
- ALIMENTAÇÃO,66,42,5,24,0.36363636363636365
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,63,36,5,27,0.42857142857142855
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,40,2,23,0.36507936507936506
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,43,6,8,0.1568627450980392
- COMÉRCIO VAREJISTA,48,25,9,23,0.4791666666666667
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,33,19,2,14,0.42424242424242425
- TRANSPORTE AQUAVIÁRIO,17,10,2,7,0.4117647058823529
- TRANSPORTE AÉREO,25,18,6,7,0.28
- TRANSPORTE TERRESTRE,38,26,3,12,0.3157894736842105
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,25,2,16,0.3902439024390244
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",60,51,0,9,0.15
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",55,34,1,21,0.38181818181818183
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,18,1,23,0.5609756097560976
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",38,28,3,10,0.2631578947368421
ATIVIDADES IMOBILIÁRIAS,48,45,5,3,0.0625
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,29,5,46,0.6133333333333333
CONSTRUÇÃO,31,12,9,19,0.6129032258064516
DESOCUPADO,46,34,1,12,0.2608695652173913
EDUCAÇÃO,61,52,0,9,0.14754098360655737
ELETRICIDADE E GÁS,29,27,1,2,0.06896551724137931
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,36,0,4,0.1
INDÚSTRIAS DE TRANSFORMAÇÃO,78,32,7,46,0.5897435897435898
INDÚSTRIAS EXTRATIVAS,28,26,4,2,0.07142857142857142
INFORMAÇÃO E COMUNICAÇÃO,50,25,2,25,0.5
NÃO DEFINIDO,66,32,8,34,0.5151515151515151
OBRAS,31,19,3,12,0.3870967741935484
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,33,1,2,0.05714285714285714
OUTRAS ATIVIDADES DE SERVIÇOS,91,35,4,56,0.6153846153846154
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,48,3,15,0.23809523809523808
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",42,32,3,10,0.23809523809523808
