id,landuse_id,landuse_description,label,anotador1,ambiguous,anotador3
424090,6,otica,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS","- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",N,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS"
7800713,6,i5 de novembro transportes,- TRANSPORTE TERRESTRE,- TRANSPORTE TERRESTRE,N,- TRANSPORTE TERRESTRE
9106075,6,2 lojas e 2apartamentos em construcao,OBRAS,OBRAS,N,OBRAS
4523190,6,4 companhia de comunicacoes,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",INFORMAÇÃO E COMUNICAÇÃO,N,INFORMAÇÃO E COMUNICAÇÃO
6399730,6,a d moreira antenas parabolicas,INFORMAÇÃO E COMUNICAÇÃO,INFORMAÇÃO E COMUNICAÇÃO,N,INFORMAÇÃO E COMUNICAÇÃO
1567394,6,abarbearia do joao amancio,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,OUTRAS ATIVIDADES DE SERVIÇOS,N,OUTRAS ATIVIDADES DE SERVIÇOS
3494593,6,abate de frango,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,N,INDÚSTRIAS DE TRANSFORMAÇÃO
2946415,6,abatedor sao luis,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,N,INDÚSTRIAS DE TRANSFORMAÇÃO
9846704,6,abatedouro,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,N,INDÚSTRIAS DE TRANSFORMAÇÃO
2675455,6,abatedouro de galinha,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,N,INDÚSTRIAS DE TRANSFORMAÇÃO
541301,6,acabamento para construcao,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,N,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
4175372,6,academia,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
6545759,6,academia de capoeira em obras,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",OBRAS,N,OBRAS
4094078,6,academia de danca jeane argolo,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
5566589,6,academia de ginastica mc,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
6370816,6,academia de ginastica ricardo benevides,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
7911841,6,academia espaco physicus,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
8173476,6,academia musculacao,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
8436058,6,academia taekwondo,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",N,"ARTES, CULTURA, ESPORTE E RECREAÇÃO"
9881472,6,acessorios para casa,- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,N,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
4900255,6,acismig associacao comercal,"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",OUTRAS ATIVIDADES DE SERVIÇOS,N,OUTRAS ATIVIDADES DE SERVIÇOS
677408,6,acougue boi gordo2,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",N,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
3457202,6,acougue carneiro,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",N,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
5291629,6,acougue casa de carnes tio joao,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO","- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",N,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
