anotador1,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,49,1,1,0.02
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",46,36,1,10,0.21739130434782608
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",33,26,0,7,0.21212121212121213
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,47,19,8,28,0.5957446808510638
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,56,30,1,26,0.4642857142857143
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",67,26,5,41,0.6119402985074627
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,32,1,4,0.1111111111111111
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,37,21,5,16,0.43243243243243246
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,31,2,15,0.32608695652173914
- ALIMENTAÇÃO,70,58,6,12,0.17142857142857143
- ALOJAMENTO,39,33,3,6,0.15384615384615385
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,61,40,7,21,0.3442622950819672
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,61,47,2,14,0.22950819672131148
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,41,7,10,0.19607843137254902
- COMÉRCIO VAREJISTA,32,25,4,7,0.21875
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,34,28,2,6,0.17647058823529413
- TRANSPORTE AQUAVIÁRIO,15,14,1,1,0.06666666666666667
- TRANSPORTE AÉREO,23,19,5,4,0.17391304347826086
- TRANSPORTE TERRESTRE,37,28,3,9,0.24324324324324326
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,24,1,16,0.4
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",65,53,0,12,0.18461538461538463
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",56,31,2,25,0.44642857142857145
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,35,24,0,11,0.3142857142857143
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,30,3,9,0.23076923076923078
ATIVIDADES IMOBILIÁRIAS,47,44,4,3,0.06382978723404255
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",77,58,6,19,0.24675324675324675
CONSTRUÇÃO,30,11,8,19,0.6333333333333333
DESOCUPADO,48,39,3,9,0.1875
EDUCAÇÃO,61,34,0,27,0.4426229508196721
ELETRICIDADE E GÁS,29,24,0,5,0.1724137931034483
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,31,0,9,0.225
INDÚSTRIAS DE TRANSFORMAÇÃO,82,47,9,35,0.4268292682926829
INDÚSTRIAS EXTRATIVAS,27,23,3,4,0.14814814814814814
INFORMAÇÃO E COMUNICAÇÃO,49,32,1,17,0.3469387755102041
NÃO DEFINIDO,68,24,10,44,0.6470588235294118
OBRAS,28,17,2,11,0.39285714285714285
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,33,1,2,0.05714285714285714
OUTRAS ATIVIDADES DE SERVIÇOS,97,56,4,41,0.422680412371134
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,45,3,18,0.2857142857142857
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44,30,4,14,0.3181818181818182
