anotador3,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,49,1,1,0.02
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",40,34,0,6,0.15
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",36,27,2,9,0.25
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,44,20,6,24,0.5454545454545454
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,57,32,2,25,0.43859649122807015
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",64,30,3,34,0.53125
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,33,0,3,0.08333333333333333
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,36,22,6,14,0.3888888888888889
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,34,2,12,0.2608695652173913
- ALIMENTAÇÃO,66,55,5,11,0.16666666666666666
- ALOJAMENTO,39,33,3,6,0.15384615384615385
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,63,45,5,18,0.2857142857142857
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,49,2,14,0.2222222222222222
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,43,6,8,0.1568627450980392
- COMÉRCIO VAREJISTA,48,34,9,14,0.2916666666666667
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,33,28,2,5,0.15151515151515152
- TRANSPORTE AQUAVIÁRIO,17,16,2,1,0.058823529411764705
- TRANSPORTE AÉREO,25,20,6,5,0.2
- TRANSPORTE TERRESTRE,38,29,3,9,0.23684210526315788
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,24,2,17,0.4146341463414634
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",60,52,0,8,0.13333333333333333
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",55,31,1,24,0.43636363636363634
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,30,1,11,0.2682926829268293
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",38,30,3,8,0.21052631578947367
ATIVIDADES IMOBILIÁRIAS,48,45,5,3,0.0625
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,57,5,18,0.24
CONSTRUÇÃO,31,13,9,18,0.5806451612903226
DESOCUPADO,46,38,1,8,0.17391304347826086
EDUCAÇÃO,61,34,0,27,0.4426229508196721
ELETRICIDADE E GÁS,29,24,1,5,0.1724137931034483
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,31,0,9,0.225
INDÚSTRIAS DE TRANSFORMAÇÃO,78,46,7,32,0.41025641025641024
INDÚSTRIAS EXTRATIVAS,28,25,4,3,0.10714285714285714
INFORMAÇÃO E COMUNICAÇÃO,50,32,2,18,0.36
NÃO DEFINIDO,66,25,8,41,0.6212121212121212
OBRAS,31,18,3,13,0.41935483870967744
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,33,1,2,0.05714285714285714
OUTRAS ATIVIDADES DE SERVIÇOS,91,55,4,36,0.3956043956043956
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,45,3,18,0.2857142857142857
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",42,29,3,13,0.30952380952380953
