anotador1,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,28,1,22,0.44
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",46,34,1,12,0.2608695652173913
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",33,29,0,4,0.12121212121212122
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,47,17,8,30,0.6382978723404256
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,56,38,1,18,0.32142857142857145
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",67,30,5,37,0.5522388059701493
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,32,1,4,0.1111111111111111
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,37,28,5,9,0.24324324324324326
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,32,2,14,0.30434782608695654
- ALIMENTAÇÃO,70,30,6,40,0.5714285714285714
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,61,41,7,20,0.32786885245901637
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,61,38,2,23,0.3770491803278688
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,41,7,10,0.19607843137254902
- COMÉRCIO VAREJISTA,32,21,4,11,0.34375
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,34,32,2,2,0.058823529411764705
- TRANSPORTE AQUAVIÁRIO,15,10,1,5,0.3333333333333333
- TRANSPORTE AÉREO,23,17,5,6,0.2608695652173913
- TRANSPORTE TERRESTRE,37,23,3,14,0.3783783783783784
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",40,24,1,16,0.4
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",65,52,0,13,0.2
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",56,30,2,26,0.4642857142857143
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,35,15,0,20,0.5714285714285714
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",39,28,3,11,0.28205128205128205
ATIVIDADES IMOBILIÁRIAS,47,31,4,16,0.3404255319148936
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",77,19,6,58,0.7532467532467533
CONSTRUÇÃO,30,12,8,18,0.6
DESOCUPADO,48,37,3,11,0.22916666666666666
EDUCAÇÃO,61,51,0,10,0.16393442622950818
ELETRICIDADE E GÁS,29,26,0,3,0.10344827586206896
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,82,21,9,61,0.7439024390243902
INDÚSTRIAS EXTRATIVAS,27,25,3,2,0.07407407407407407
INFORMAÇÃO E COMUNICAÇÃO,49,21,1,28,0.5714285714285714
NÃO DEFINIDO,68,0,10,68,1.0
OBRAS,28,21,2,7,0.25
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,30,1,5,0.14285714285714285
OUTRAS ATIVIDADES DE SERVIÇOS,97,36,4,61,0.6288659793814433
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,52,3,11,0.1746031746031746
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44,33,4,11,0.25
