anotador3,total,hits,ambiguity_count,errors,errors%
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",50,28,1,22,0.44
"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",40,34,0,6,0.15
"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS",36,30,2,6,0.16666666666666666
- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,25,24,2,1,0.04
- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO,44,17,6,27,0.6136363636363636
- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,57,41,2,16,0.2807017543859649
"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO",64,32,3,32,0.5
"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",36,33,0,3,0.08333333333333333
- - COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,36,29,6,7,0.19444444444444445
- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO,46,35,2,11,0.2391304347826087
- ALIMENTAÇÃO,66,30,5,36,0.5454545454545454
- ALOJAMENTO,39,38,3,1,0.02564102564102564
- ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,63,46,5,17,0.2698412698412698
- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,63,39,2,24,0.38095238095238093
"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",51,43,6,8,0.1568627450980392
- COMÉRCIO VAREJISTA,48,31,9,17,0.3541666666666667
- CORREIO E OUTRAS ATIVIDADES DE ENTREGA,33,32,2,1,0.030303030303030304
- TRANSPORTE AQUAVIÁRIO,17,11,2,6,0.35294117647058826
- TRANSPORTE AÉREO,25,18,6,7,0.28
- TRANSPORTE TERRESTRE,38,24,3,14,0.3684210526315789
"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",41,25,2,16,0.3902439024390244
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",60,51,0,9,0.15
"ARTES, CULTURA, ESPORTE E RECREAÇÃO",55,31,1,24,0.43636363636363634
ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,41,17,1,24,0.5853658536585366
"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",38,28,3,10,0.2631578947368421
ATIVIDADES IMOBILIÁRIAS,48,32,5,16,0.3333333333333333
"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,19,5,56,0.7466666666666667
CONSTRUÇÃO,31,12,9,19,0.6129032258064516
DESOCUPADO,46,37,1,9,0.1956521739130435
EDUCAÇÃO,61,51,0,10,0.16393442622950818
ELETRICIDADE E GÁS,29,27,1,2,0.06896551724137931
"IGREJAS, TEMPLOS E ATIVIDADES RELIGIOSAS",40,37,0,3,0.075
INDÚSTRIAS DE TRANSFORMAÇÃO,78,21,7,57,0.7307692307692307
INDÚSTRIAS EXTRATIVAS,28,26,4,2,0.07142857142857142
INFORMAÇÃO E COMUNICAÇÃO,50,23,2,27,0.54
NÃO DEFINIDO,66,0,8,66,1.0
OBRAS,31,23,3,8,0.25806451612903225
ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,35,30,1,5,0.14285714285714285
OUTRAS ATIVIDADES DE SERVIÇOS,91,36,4,55,0.6043956043956044
SAÚDE HUMANA E SERVIÇOS SOCIAIS,63,52,3,11,0.1746031746031746
"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",42,33,3,9,0.21428571428571427
