order,id,urban_rural,landuse_id,landuse_description,label,lenient_hit,anotador1,anotador2,hit,clf,ambiguous,match_annotations,classes
290,424090,1,6,0TICA,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS","- - COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, PERFUMARIA E COSMÉTICOS E ARTIGOS MÉDICOS, ÓPTICOS E ORTOPÉDICOS",TRUE,snorkel,,TRUE,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA"
752,7800713,1,6,15 DE NOVEMBRO TRANSPORTES,- TRANSPORTE TERRESTRE,TRUE,- TRANSPORTE TERRESTRE,- TRANSPORTE TERRESTRE,TRUE,snorkel,,TRUE,INDÚSTRIAS EXTRATIVAS
1456,9106075,1,6,2 LOJAS E 2APARTAMENTOS EM CONSTRUCAO,OBRAS,TRUE,OBRAS,OBRAS,TRUE,snorkel,,TRUE,INDÚSTRIAS DE TRANSFORMAÇÃO
1396,4523190,1,6,4 COMPANHIA DE COMUNICACOES,INFORMAÇÃO E COMUNICAÇÃO,TRUE,INFORMAÇÃO E COMUNICAÇÃO,INFORMAÇÃO E COMUNICAÇÃO,TRUE,snorkel,,TRUE,ELETRICIDADE E GÁS
1824,6399730,1,6,a d moreira antenas parabolicas,INFORMAÇÃO E COMUNICAÇÃO,TRUE,INFORMAÇÃO E COMUNICAÇÃO,INFORMAÇÃO E COMUNICAÇÃO,TRUE,bert,,TRUE,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO"
1780,1567394,1,6,abarbearia do joao amancio,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS",FALSE,OUTRAS ATIVIDADES DE SERVIÇOS,OUTRAS ATIVIDADES DE SERVIÇOS,FALSE,bert,,TRUE,CONSTRUÇÃO
1348,3494593,1,6,abate de frango,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,lr,,TRUE,- COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
1335,2946415,1,6,abatedor sao luis,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,svc,,TRUE,"- COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
1329,9846704,2,6,abatedouro,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,rf,,TRUE,- COMÉRCIO VAREJISTA
1346,2675455,1,6,abatedouro de galinha,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,INDÚSTRIAS DE TRANSFORMAÇÃO,INDÚSTRIAS DE TRANSFORMAÇÃO,TRUE,svc,,TRUE,- - COMÉRCIO VAREJISTA NÃO ESPECIALIZADO
1339,541301,1,6,acabamento para construcao,OBRAS,FALSE,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO,FALSE,bert,,TRUE,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - HIPERMERCADOS E SUPERMERCADOS"
1988,4175372,1,6,academia,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,bert,,TRUE,"- - - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
1723,6545759,1,6,ACADEMIA DE CAPOEIRA EM OBRAS,OBRAS,TRUE,OBRAS,OBRAS,TRUE,snorkel,,TRUE,"- - COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
1460,4094078,1,6,ACADEMIA DE DANCA JEANE ARGOLO,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,snorkel,,TRUE,- - COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES
918,5566589,1,6,academia de ginastica mc,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,rf,,TRUE,- - COMÉRCIO VAREJISTA DE MATERIAL DE CONSTRUÇÃO
930,6370816,1,6,ACADEMIA DE GINASTICA RICARDO BENEVIDES,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,snorkel,,TRUE,- - COMÉRCIO VAREJISTA DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO; EQUIPAMENTOS E ARTIGOS DE USO DOMÉSTICO
914,7911841,1,6,academia espaco physicus,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,"ARTES, CULTURA, ESPORTE E RECREAÇÃO","ARTES, CULTURA, ESPORTE E RECREAÇÃO",TRUE,lr,,TRUE,"- - COMÉRCIO VAREJISTA DE ARTIGOS CULTURAIS, RECREATIVOS E ESPORTIVOS"
